gender,race,age,hired,gpa,years_experience,skills_score,resume_quality,education_level
Male,White,28,1,3.5,3,85,75,Bachelor
Female,Black,32,0,3.2,5,70,60,Bachelor
Male,Asian,25,1,3.8,2,90,80,Master
Female,White,30,1,3.4,4,75,70,Bachelor
Male,Hispanic,35,0,3.0,8,65,55,Bachelor
Female,Asian,27,1,3.6,3,80,85,Master
Male,White,42,1,3.3,12,70,65,Bachelor
Female,Black,29,0,3.1,4,60,50,High School
Male,White,31,1,3.7,5,88,78,Bachelor
Female,Hispanic,26,0,2.9,2,55,45,Bachelor
Male,Asian,38,1,3.4,10,72,68,Master
Female,White,33,1,3.5,6,82,76,Bachelor
Male,Black,40,0,3.0,9,58,52,High School
Female,Asian,24,1,3.9,1,95,90,Master
Male,White,29,1,3.6,4,78,72,Bachelor
Female,White,36,0,3.2,7,68,62,Bachelor
Male,Hispanic,45,1,3.1,15,55,48,Bachelor
Female,Black,31,0,3.3,5,70,64,Bachelor
Male,Asian,34,1,3.8,8,85,80,Master
Female,Hispanic,28,1,3.4,3,75,70,Bachelor
Male,White,50,0,2.8,18,50,42,High School
Female,Asian,30,1,3.7,4,82,78,Bachelor
Male,Black,27,0,3.0,3,60,55,Bachelor
Female,White,39,1,3.5,10,75,68,Master
Male,White,44,1,3.2,12,65,58,Bachelor
Female,Black,35,0,3.1,6,62,56,Bachelor
Male,Asian,37,1,3.6,9,80,74,Master
Female,Hispanic,32,1,3.4,5,72,66,Bachelor
Male,White,41,0,2.9,11,52,45,Bachelor
Female,Asian,26,1,3.8,2,88,82,Master
